"tid";"price";"timestep"
3326;35.54;2011-12-03 03:00:00
3327;54.82;2011-09-18 12:00:00
3328;68.92;2011-10-10 11:00:00
3332;52.94;2011-01-08 19:00:00
3334;63.68;2011-03-31 11:00:00
3338;85.1;2011-11-08 17:00:00
3341;51.37;2011-03-18 23:00:00
3345;61.32;2011-06-20 15:00:00
3347;50;2011-08-27 17:00:00
3349;41.92;2011-03-13 05:00:00
3352;50.09;2011-02-09 06:00:00
3353;49;2011-12-28 20:00:00
3354;21.54;2011-02-13 07:00:00
3355;60;2011-04-07 21:00:00
3356;32.67;2011-07-30 06:00:00
3357;25.79;2011-12-31 04:00:00
3359;73.97;2011-03-04 19:00:00
3360;50.84;2011-11-26 16:00:00
3362;66.1;2011-04-18 13:00:00
3363;38.17;2011-12-21 05:00:00
3364;64.56;2011-06-14 21:00:00
3366;68.58;2011-02-01 10:00:00
3368;44.69;2011-05-23 01:00:00
3370;41.99;2011-07-27 05:00:00
3372;46.67;2011-03-31 23:00:00
3374;43.06;2011-07-10 09:00:00
3376;44.85;2011-10-09 09:00:00
3378;33.2;2011-10-16 05:00:00
3379;44.12;2011-06-05 02:00:00
3380;42.1;2011-10-16 13:00:00
3383;47.81;2011-06-27 06:00:00
3384;43.99;2011-11-13 13:00:00
3388;40.94;2011-12-05 23:00:00
3391;64.38;2011-02-11 19:00:00
3392;61.93;2011-06-13 22:00:00
3396;56.93;2011-09-21 21:00:00
3401;67.95;2011-10-23 19:00:00
3402;54.25;2011-07-28 13:00:00
3403;41.04;2011-02-15 02:00:00
3404;51.39;2011-07-18 12:00:00
3405;67.85;2011-01-21 18:00:00
3406;33.04;2011-12-01 04:00:00
3407;59.44;2011-09-14 12:00:00
3410;53.02;2011-01-20 21:00:00
3411;37.68;2011-08-06 05:00:00
3412;57.06;2011-03-22 06:00:00
3413;63.3;2011-01-20 07:00:00
3414;53.2;2011-12-22 20:00:00
3415;47.5;2011-01-02 15:00:00
3416;32.91;2011-12-20 03:00:00
3417;43.7;2011-04-27 01:00:00
3418;58.95;2011-04-13 11:00:00
3419;59.84;2011-04-11 12:00:00
3420;54.9;2011-09-22 15:00:00
3421;67.83;2011-01-24 07:00:00
3422;48.03;2011-06-18 07:00:00
3423;55;2011-06-29 07:00:00
3424;68.28;2011-03-02 18:00:00
3426;57.1;2011-04-11 17:00:00
3428;69.08;2011-05-12 20:00:00
3431;50.06;2011-01-04 21:00:00
3432;19.96;2011-07-17 07:00:00
3433;44.97;2011-09-04 17:00:00
3434;53.18;2011-04-05 14:00:00
3435;58.06;2011-04-09 20:00:00
3436;53.57;2011-09-11 18:00:00
3444;45.77;2011-08-09 19:00:00
3446;67.98;2011-02-28 12:00:00
3449;51.69;2011-08-11 10:00:00
3452;45.06;2011-01-06 08:00:00
3456;41.7;2011-02-20 15:00:00
3458;47.68;2011-03-26 05:00:00
3461;53.19;2011-12-12 20:00:00
3463;66.19;2011-10-14 10:00:00
3464;57.93;2011-09-15 22:00:00
3466;10.17;2011-01-16 06:00:00
3468;47.32;2011-09-25 10:00:00
3470;56.18;2011-01-11 22:00:00
3471;51.01;2011-05-28 23:00:00
3473;72.83;2011-09-01 20:00:00
3170;39.09;2011-08-28 13:00:00
3173;34.47;2011-08-17 04:00:00
3174;70;2011-05-03 08:00:00
3181;54.25;2011-04-21 06:00:00
3183;41.58;2011-10-30 01:00:00
3184;65.74;2011-03-03 10:00:00
3185;57.36;2011-03-31 19:00:00
3186;47;2011-05-07 15:00:00
3187;58.05;2011-02-06 18:00:00
3188;61.2;2011-09-09 15:00:00
3189;63.09;2011-01-13 17:00:00
3190;63.58;2011-01-18 11:00:00
3192;58.96;2011-12-21 19:00:00
